Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume KRW
1552687200.0,2019-03-15 10-PM,BTCKRW,4350000,4367000,4349000,4360000,106.15,462719341.26
1552683600.0,2019-03-15 09-PM,BTCKRW,4356000,4357000,4345000,4350000,136.76,594980921.45
1552680000.0,2019-03-15 08-PM,BTCKRW,4365000,4368000,4353000,4356000,128.29,559591571.66
1552676400.0,2019-03-15 07-PM,BTCKRW,4369000,4370000,4357000,4365000,101.07,440929440.4
1552672800.0,2019-03-15 06-PM,BTCKRW,4369000,4372000,4358000,4369000,55.97,244383288.1
1552669200.0,2019-03-15 05-PM,BTCKRW,4356000,4374000,4355000,4369000,99.61,434864028.38
1552665600.0,2019-03-15 04-PM,BTCKRW,4367000,4373000,4354000,4356000,124.06,541460880.21
1552662000.0,2019-03-15 03-PM,BTCKRW,4361000,4376000,4354000,4367000,249.39,1088959829.22
1552658400.0,2019-03-15 02-PM,BTCKRW,4357000,4365000,4355000,4361000,172.23,750683001.4
1552654800.0,2019-03-15 01-PM,BTCKRW,4361000,4369000,4354000,4357000,121.74,530994416.13
1552651200.0,2019-03-15 12-PM,BTCKRW,4370000,4380000,4350000,4361000,325.68,1421439333.55
1552647600.0,2019-03-15 11-AM,BTCKRW,4358000,4378000,4354000,4370000,231.19,1009302927.08
1552644000.0,2019-03-15 10-AM,BTCKRW,4353000,4362000,4350000,4358000,155.25,676185889.07
1552640400.0,2019-03-15 09-AM,BTCKRW,4342000,4359000,4340000,4353000,138.19,600976110.69
1552636800.0,2019-03-15 08-AM,BTCKRW,4342000,4348000,4339000,4342000,142.33,618162559.35
1552633200.0,2019-03-15 07-AM,BTCKRW,4345000,4348000,4339000,4342000,218.01,946837164.96
1552629600.0,2019-03-15 06-AM,BTCKRW,4341000,4352000,4340000,4345000,204.5,888738701.61
1552626000.0,2019-03-15 05-AM,BTCKRW,4338000,4346000,4337000,4341000,154.41,670250208.18
1552622400.0,2019-03-15 04-AM,BTCKRW,4336000,4342000,4333000,4338000,153.44,665590059.4
1552618800.0,2019-03-15 03-AM,BTCKRW,4336000,4340000,4333000,4336000,159.46,691650191.53
1552615200.0,2019-03-15 02-AM,BTCKRW,4342000,4346000,4335000,4336000,159.7,692918689.87
1552611600.0,2019-03-15 01-AM,BTCKRW,4340000,4349000,4338000,4342000,174.65,758603347.33
1552608000.0,2019-03-15 12-AM,BTCKRW,4342000,4345000,4331000,4340000,184.81,801713164.03
1552604400.0,2019-03-14 11-PM,BTCKRW,4340000,4345000,4335000,4342000,115.95,503232723.44
1552600800.0,2019-03-14 10-PM,BTCKRW,4337000,4341000,4333000,4340000,97.08,421066000.76
1552597200.0,2019-03-14 09-PM,BTCKRW,4335000,4341000,4333000,4337000,69.07,299566641.08
1552593600.0,2019-03-14 08-PM,BTCKRW,4340000,4342000,4335000,4335000,67.28,291917042.31
1552590000.0,2019-03-14 07-PM,BTCKRW,4338000,4342000,4334000,4340000,68.79,298432620.02
1552586400.0,2019-03-14 06-PM,BTCKRW,4346000,4347000,4335000,4338000,80.22,348278491.9
1552582800.0,2019-03-14 05-PM,BTCKRW,4335000,4350000,4335000,4346000,112.44,488171303.94
1552579200.0,2019-03-14 04-PM,BTCKRW,4349000,4357000,4334000,4335000,182.43,792771882.91
1552575600.0,2019-03-14 03-PM,BTCKRW,4349000,4359000,4338000,4349000,305.55,1328678883.4
